Date,Close
2004-11-05,75.55
2004-11-08,75.2
2004-11-09,75.3
2004-11-10,75.05
2004-11-11,74.45
2004-11-12,74.65
2004-11-16,73.65
2004-11-17,73.6
2004-11-18,73.65
2004-11-19,73.55
2004-11-22,74.45
2004-11-23,75.85
2004-11-24,77.8
2004-11-25,77.05
2004-11-29,77.3
2004-11-30,79.1
2004-12-01,79.7
2004-12-02,80.45
2004-12-03,79.6
2004-12-06,79.9
2004-12-07,80.45
2004-12-08,80
2004-12-09,80
2004-12-10,79
2004-12-13,79.6
2004-12-14,81.6
2004-12-15,84.1
2004-12-16,83.8
2004-12-17,83
2004-12-20,83.25
2004-12-21,84.5
2004-12-22,83.15
2004-12-23,83.25
2004-12-24,83.65
2004-12-27,85.05
2004-12-28,86.95
2004-12-29,87.05
2004-12-30,85.65
2004-12-31,87.25
2005-01-03,88.5
2005-01-04,88.8
2005-01-05,84.85
2005-01-06,82.7
2005-01-07,83.35
2005-01-10,83.45
2005-01-11,81.8
2005-01-12,79.05
2005-01-13,81.8
2005-01-14,81.15
2005-01-17,81.25
2005-01-18,81.35
2005-01-19,79.8
2005-01-20,78.25
2005-01-24,78.05
2005-01-25,80.8
2005-01-27,79.9
2005-01-28,82.25
2005-01-31,86.5
2005-02-01,89.15
2005-02-02,89.75
2005-02-03,91.85
2005-02-04,91.75
2005-02-07,92.6
2005-02-08,91.35
2005-02-09,91.95
2005-02-10,92.05
2005-02-11,92.15
2005-02-14,92.05
2005-02-15,92.65
2005-02-16,92.1
2005-02-17,92.4
2005-02-18,93.3
2005-02-21,92.4
2005-02-22,92.65
2005-02-23,94.9
2005-02-24,93.85
2005-02-25,92.5
2005-02-28,93
2005-03-01,93
2005-03-02,93.4
2005-03-03,93.95
2005-03-04,93.95
2005-03-07,92.2
2005-03-08,93.9
2005-03-09,92.5
2005-03-10,93.05
2005-03-11,93.5
2005-03-14,93
2005-03-15,91.75
2005-03-16,91.35
2005-03-17,90.05
2005-03-18,89.7
2005-03-21,88.15
2005-03-22,85.7
2005-03-23,83.95
2005-03-24,84.1
